FBgn0039595	A VirF 4d ovary	0
FBgn0039595	CNS ML-DmBG1-c1	0
FBgn0039595	CNS ML-DmBG2-c2	0
FBgn0039595	L3 CNS	2
FBgn0039595	L3 Wand carcass	18
FBgn0039595	L3 Wand dig sys	6
FBgn0039595	L3 Wand fat	0
FBgn0039595	L3 Wand imag disc	1
FBgn0039595	L3 Wand saliv	0
FBgn0039595	P15	3
FBgn0039595	P5	8
FBgn0039595	P6	5
FBgn0039595	P8	2
FBgn0039595	P8 CNS	1
FBgn0039595	P8 fat	2
FBgn0039595	P9-10	2
FBgn0039595	Schneider line 2 S2R+	0
FBgn0039595	Schneider line 2 Sg4	0
FBgn0039595	WPP fat	0
FBgn0039595	WPP saliv	0
FBgn0039595	adult female 01day	3
FBgn0039595	adult female 05day	1
FBgn0039595	adult female 30day	1
FBgn0039595	adult male 01day	4
FBgn0039595	adult male 05day	5
FBgn0039595	adult male 30day	5
FBgn0039595	antennal disc ML-DmD20-c5	0
FBgn0039595	embryo 00-02hr	0
FBgn0039595	embryo 02-04hr	0
FBgn0039595	embryo 04-06hr	0
FBgn0039595	embryo 06-08hr	0
FBgn0039595	embryo 08-10hr	0
FBgn0039595	embryo 10-12hr	0
FBgn0039595	embryo 12-14hr	0
FBgn0039595	embryo 14-16hr	1
FBgn0039595	embryo 16-18hr	3
FBgn0039595	embryo 18-20hr	8
FBgn0039595	embryo 20-22hr	14
FBgn0039595	embryo 22-24hr	15
FBgn0039595	embryonic 1182-4H	0
FBgn0039595	embryonic GM2	0
FBgn0039595	embryonic Kc167	0
FBgn0039595	embryonic S1	0
FBgn0039595	embryonic S3	0
FBgn0039595	eye-antennal disc ML-DmD11	0
FBgn0039595	haltere disc ML-DmD17-c3	0
FBgn0039595	larva L1	16
FBgn0039595	larva L2	6
FBgn0039595	larva L3 12hr old	3
FBgn0039595	larva L3 late, Zn 5mM	1
FBgn0039595	larva L3 puffstage 1-2	5
FBgn0039595	larva L3 puffstage 3-6	11
FBgn0039595	larva L3 puffstage 7-9	17
FBgn0039595	larva L3, Caffeine 1.5mg/ml	4
FBgn0039595	larva L3, Cd 12hr	9
FBgn0039595	larva L3, Cd 6hr	4
FBgn0039595	larva L3, Cu 0.5mM	2
FBgn0039595	larva L3, EtOH 10	5
FBgn0039595	larva L3, EtOH 2.5	2
FBgn0039595	larva L3, EtOH 5	3
FBgn0039595	larva L3, Rotenone 2μg	3
FBgn0039595	larva L3, Rotenone 8μg	4
FBgn0039595	leg disc CME L1	0
FBgn0039595	mixed discs ML-DmD4-c1	0
FBgn0039595	ovary OSC	0
FBgn0039595	ovary OSS	0
FBgn0039595	ovary fGS/OSS	0
FBgn0039595	tumorous blood cells mbn2	0
FBgn0039595	white prepupae new	11
FBgn0039595	wing disc CME-W2	0
FBgn0039595	wing disc ML-DmD16-c3	0
FBgn0039595	wing disc ML-DmD21	0
FBgn0039595	wing disc ML-DmD32	0
FBgn0039595	wing disc ML-DmD8	0
FBgn0039595	wing disc ML-DmD9	0
FBgn0000659	4-day Adult, Caffeine 2.5mg/ml	6
FBgn0000659	4-day Adult, Caffeine 25mg/ml	10
FBgn0000659	4-day Adult, Cd 0.05M	8
FBgn0000659	4-day Adult, Cd 0.1M	6
FBgn0000659	4-day Adult, Cu 15mM	12
FBgn0000659	4-day Adult, Paraquat 10mM	10
FBgn0000659	4-day Adult, Paraquat 5mM	8
FBgn0000659	4-day Adult, Zn 4.5mM	23
FBgn0000659	4-day Adult, cold 1	12
FBgn0000659	4-day Adult, cold 2	12
FBgn0000659	4-day Adult, heatshock	7
FBgn0000659	A 1d carcass	4
FBgn0000659	A 1d dig sys	28
FBgn0000659	A 20d carcass	5
FBgn0000659	A 20d dig sys	37
FBgn0000659	A 4d carcass	4
FBgn0000659	A 4d dig sys	39
FBgn0000659	A MateF 1d head	6
FBgn0000659	A MateF 20d head	4
FBgn0000659	A MateF 4d head	5
FBgn0000659	A MateF 4d ovary	0
FBgn0000659	A MateM 1d head	9
FBgn0000659	A MateM 20d head	6
FBgn0000659	A MateM 4d acc gland	2
FBgn0000659	A MateM 4d head	9
FBgn0000659	A MateM 4d testis	1
FBgn0000659	A VirF 1d head	6
FBgn0000659	A VirF 20d head	4
FBgn0000659	A VirF 4d head	7
FBgn0000659	A VirF 4d ovary	0
FBgn0000659	CNS ML-DmBG1-c1	23
